id;region;municipality;settlement;type;latitude_dd;longitude_dd
334;Омская область;Исилькульский район;Ночка;д;5471;7132
335;Кемеровская область;Тисульский район;Третьяково;с;5579;8844
336;Кемеровская область;Прокопьевский;Пушкино;п;5419;8679
337;Иркутская область;Нижнеудинский район;Замзор;п;5536;9863
338;Республика Алтай;Усть-Канский район;Талица;с;5103;8430
339;Омская область;Саргатский район;Карманово;д;5581;7346
340;Алтайский край;Поспелихинский;Факел социализма;п;5199;8189
341;Красноярский край;Краснотуранский район;Джирим;п;5402;9212
342;Красноярский край;Назаровский район;Павловка;с;5596;8983
343;Алтайский край;Топчихинский;Парфёново;с;5280;8272
344;Красноярский край;Шарыповский район;Косые Ложки;д;5537;8921
345;Иркутская область;Братский район;Новое Приречье;д;5507;10106
346;Иркутская область;Черемховский район;Средний Булай;д;5297;10312
347;Красноярский край;Рыбинский район;Новокамала;с;5596;9498
348;Новосибирская область;Черепановский район;Искра;п;5418;8340
349;Красноярский край;Рыбинский район;Рыбное;с;5578;9479
350;Томская область;Тегульдетский район;Четь-Конторка;п;5706;8811
351;Иркутская область;Иркутский район;Горячий Ключ;п;5227;10490
352;Кемеровская область;Беловский;Пермяки;с;5446;8691
353;Алтайский край;Залесовский;Гуниха;с;5419;8464
354;Омская область;Черлакский район;Первый Шаг;д;5406;7525
355;Томская область;Тегульдетский район;Черный Яр;п;5704;8731
356;Алтайский край;Каменский;Верх-Аллак;с;5388;8166
357;Иркутская область;Зиминский район;Успенский 3-й;п;5364;10168
358;Новосибирская область;Новосибирский район;Прогресс;п;5470;8254
359;Красноярский край;Рыбинский район;Усть-Кандыга;д;5553;9473
360;Алтайский край;Павловский;Шахи;с;5333;8336
361;Красноярский край;Канский район;Подояйск;д;5624;9556
362;Кемеровская область;Ижморский район;Новославянка;с;5653;8679
363;Алтайский край;Заринский;Змазнево;п;5381;8521
364;Республика Алтай;Усть-Коксинский район;Тюнгур;с;5016;8631
365;Кемеровская область;Осинниковский;Тайжина;п;5366;8743
366;Иркутская область;Боханский район;Каменка;с;5316;10337
367;Алтайский край;Алейский;Бориха;п;5228;8264
368;Кемеровская область;Мариинский район;Кирсановка;д;5650;8706
369;Томская область;Молчановский район;Могочино;с;5771;8357
370;Иркутская область;Братский район;Прибрежный;п;5520;10069
371;Республика Тыва;Тес-Хемский кожуун;О-Шынаа;с;5066;9372
372;Алтайский край;Бийский;Ясная Поляна;п;5268;8543
373;Омская область;Усть-Ишимский район;Паново;с;5779;7082
374;Иркутская область;Усольский район;Раздолье;п;5244;10319
375;Иркутская область;Тулунский район;Аршан;п;5392;9990
376;Томская область;Кожевниковский район;Осиновка;с;5595;8349
377;Красноярский край;Богучанский район;Осиновый Мыс;д;5757;9690
378;Томская область;Кривошеинский район;Володино;с;5709;8389
379;Алтайский край;Чарышский;Сентелек;с;5120;8375
380;Красноярский край;Назаровский район;Новоалександровка;д;5558;9063
381;Алтайский край;Зональный;Урожайный;п;5271;8492
382;Красноярский край;Назаровский район;Зарянка;п;5589;9005
383;Красноярский край;Канский район;Левобережное;с;5623;9558
384;Алтайский край;Романовский;Закладное;с;5258;8099
385;Новосибирская область;Кочковский район;Решеты;с;5421;8021
386;Республика Хакасия;Аскизский район;Пуланколь;с;5338;9060
387;Иркутская область;Нижнеилимский район;Железногорск-Илимский;г;5658;10411
388;Новосибирская область;Здвинский район;Лянино;с;5436;7850
389;Кемеровская область;Ленинск-Кузнецкий;Новогородец;п;5460;8604
390;Иркутская область;Тулунский район;Перфилово;с;5441;10048
391;Республика Тыва;Кызыл;Кызыл;г;5171;9443
392;Алтайский край;Немецкий национальный;Гришковка;с;5314;7875
393;Томская область;Зырянский район;Вамбалы;с;5665;8673
394;Томская область;Каргасокский район;Нефтяников;п;5904;8083
395;Омская область;Большереченский район;Красный Яр;с;5614;7461
396;Омская область;Нижнеомский район;Сидоровка;д;5572;7455
397;Красноярский край;Козульский район;Кедровый;п;5628;9154
398;Алтайский край;Каменский;Камень-на-Оби;г;5379;8135
399;Алтайский край;Каменский;Столбово;с;5392;8147
400;Красноярский край;Минусинский район;Озеро Тагарское;п;5359;9179
401;Иркутская область;Нижнеудинский район;Новое Село;д;5490;9885
402;Кемеровская область;Новокузнецкий;Успенка;п;5408;8722
403;Красноярский край;Уярский район;Ольгино;с;5586;9430
404;Красноярский край;Ермаковский район;Танзыбей;п;5312;9294
405;Республика Тыва;Пий-Хемский кожуун;Хут;с;5261;9455
406;Иркутская область;Аларский район;Малолучинск;д;5321;10259
407;Красноярский край;Уярский район;Балай;п;5587;9398
408;Иркутская область;Ольхонский район;Еланцы;с;5279;10640
409;Красноярский край;Уярский район;Роща;п;5583;9394
410;Красноярский край;Нижнеингашский район;Кучерово;с;5631;9696
411;Алтайский край;Первомайский;Северный;п;5382;8399
412;Омская область;Любинский район;Ровная Поляна;д;5510;7251
413;Красноярский край;Эвенкийский район;Нидым;п;6411;9991
414;Красноярский край;Енисейский район;Малобелая;д;5823;9196
415;Омская область;Седельниковский район;Новоуйка;с;5703;7519
416;Алтайский край;Чарышский;Красный Партизан;с;5137;8358
417;Иркутская область;Нукутский район;Ворот-Онгой;д;5366;10283
418;Омская область;Тюкалинский район;Максимовка;д;5564;7270
419;Кемеровская область;Яйский район;Улановка;с;5639;8610
420;Республика Хакасия;Бейский район;Бея;с;5304;9092
421;Алтайский край;Мамонтовский;Крестьянка;с;5243;8158
422;Омская область;Павлоградский район;Юрьевка;с;5402;7339
423;Алтайский край;Романовский;Сидоровка;с;5254;8075
424;Алтайский край;Барнаул;Казенная Заимка;п;5339;8360
425;Республика Тыва;Барун-Хемчикский кожуун;Кызыл-Мажалык;с;5114;9057
426;Республика Тыва;Овюрский кожуун;Дус-Даг;с;5081;9268
427;Кемеровская область;Беловский;Каракан;с;5438;8676
428;Омская область;Кормиловский район;Корниловка;д;5502;7395
429;Республика Тыва;Барун-Хемчикский кожуун;Аянгаты;с;5099;9084
430;Алтайский край;Целинный;Верх-Марушка;с;5291;8563
431;Новосибирская область;Тогучинский район;Шмаково;д;5503;8341
432;Новосибирская область;Убинский район;Крещенское;с;5585;8004
433;Новосибирская область;Ордынский район;Плотниково;д;5459;8221
434;Иркутская область;Усольский район;Хайта;с;5280;10320
435;Красноярский край;Канский район;Белоярск;д;5625;9540
436;Новосибирская область;Каргатский район;Сумы;с;5481;8043
437;Алтайский край;Угловский;Симоново;с;5168;8037
438;Республика Алтай;Усть-Канский район;Черный Ануй;с;5136;8473
439;Кемеровская область;Ленинск-Кузнецкий;Кокуй;п;5457;8540
440;Красноярский край;Иланский район;Новониколаевка;с;5578;9618
441;Республика Хакасия;Боградский район;Большая Ерба;с;5425;9062
442;Кемеровская область;Беловский;Верховская;д;5436;8621
443;Красноярский край;Курагинский район;Поначево;с;5412;9278
444;Омская область;Саргатский район;Новотроицк;с;5577;7305
445;Алтайский край;Солтонский;Солтон;с;5284;8647
446;Красноярский край;Бирилюсский район;Кирчиж;с;5713;9020
447;Красноярский край;Большемуртинский район;Пакуль;д;5684;9332
448;Алтайский край;Первомайский;Нижняя Петровка;п;5291;8385
449;Новосибирская область;Краснозерский район;Петропавловка;с;5401;7964
450;Новосибирская область;Искитимский район;Горевка;д;5442;8281
451;Алтайский край;Усть-Пристанский;Красноярка;с;5222;8347
