id;region;municipality;settlement;type;latitude_dd;longitude_dd
5558;Красноярский край;Красноярск;Песчанка;д;5608;9308
5559;Кемеровская область;Ленинск-Кузнецкий;Чесноково;с;5481;8640
5560;Омская область;Павлоградский район;Пашенная Роща;д;5420;7405
5561;Красноярский край;Эвенкийский район;Юкта;п;6338;10565
5562;Омская область;Исилькульский район;Петровка;д;5501;7132
5563;Омская область;Калачинский район;Ковалево;д;5509;7527
5564;Новосибирская область;Здвинский район;Верх-Каргат;с;5479;7909
5565;Томская область;Первомайский район;Торбеево;д;5702;8634
5566;Красноярский край;Шушенский район;Голубая;д;5298;9150
5567;Красноярский край;Дзержинский район;Улюколь;д;5670;9492
5568;Омская область;Азовский немецкий национальный район;Трубецкое;д;5461;7290
5569;Алтайский край;Немецкий национальный;Дегтярка;с;5334;7935
5570;Кемеровская область;Новокузнецкий;Чистая Грива;п;5403;8749
5571;Республика Тыва;Бай-Тайгинский кожуун;Бай-Тал;с;5091;9005
5572;Красноярский край;Большеулуйский район;Большой Улуй;с;5665;9058
5573;Омская область;Омский район;Харино;с;5515;7319
5574;Новосибирская область;Мошковский район;Умрева;д;5554;8362
5575;Красноярский край;Бирилюсский район;Промбор;д;5732;9040
5576;Кемеровская область;Анжеро-Судженский;Лебедянка;с;5613;8595
5577;Иркутская область;Куйтунский район;Тулюшка;с;5445;10118
5578;Алтайский край;Смоленский;Красный Городок;п;5197;8466
5579;Томская область;Кожевниковский район;Уртам;с;5613;8393
5580;Омская область;Оконешниковский район;Сергеевка;с;5481;7487
5581;Иркутская область;Эхирит-Булагатский район;Муромцовка;д;5320;10520
5582;Томская область;Томский район;Половинка;с;5670;8438
5583;Кемеровская область;Тисульский район;Центральный;п;5520;8764
5584;Омская область;Знаменский район;Новоягодное;с;5735;7351
5585;Новосибирская область;Здвинский район;Бережки;д;5475;7897
5586;Красноярский край;Абанский район;Вознесенка;с;5697;9699
5587;Алтайский край;Волчихинский;Бор-Форпост;с;5187;8011
5588;Республика Тыва;Тес-Хемский кожуун;Берт-Даг;с;5062;9479
5589;Новосибирская область;Черепановский район;Отважный;п;5419;8332
5590;Омская область;Тюкалинский район;Атрачи;с;5595;7202
5591;Алтайский край;Ельцовский;Пуштулим;с;5320;8643
5592;Новосибирская область;Барабинский район;Барабинск;г;5535;7834
5593;Новосибирская область;Карасукский район;Кукарка;д;5421;7839
5594;Алтайский край;Петропавловский;Зеленый Дол;с;5211;8413
5595;Иркутская область;Киренский район;Киренск;г;5777;10811
5596;Кемеровская область;Тяжинский район;Нововосточный;п;5615;8854
5597;Кемеровская область;Ленинск-Кузнецкий;Драченино;с;5476;8604
5598;Новосибирская область;Убинский район;Круглоозерное;с;5507;7929
5599;Красноярский край;Уярский район;Сухоной;с;5561;9416
5600;Иркутская область;Боханский район;Красная Буреть;д;5304;10396
5601;Иркутская область;Качугский район;Малые Голы;д;5392;10603
5602;Иркутская область;Усольский район;Усолье-7;п;5289;10328
5603;Республика Тыва;Тес-Хемский кожуун;Холь-Оожу;с;5074;9441
5604;Иркутская область;Киренский район;Бубновка;п;5775;10823
5605;Новосибирская область;Искитимский район;Агролес;п;5475;8313
5606;Омская область;Колосовский район;Новологиново;с;5649;7377
5607;Алтайский край;Михайловский;Неводное;с;5196;7923
5608;Красноярский край;Канский район;Дорожный;п;5605;9557
5609;Омская область;Большереченский район;Березовка;д;5591;7386
5610;Кемеровская область;Топкинский район;Октябрьский;п;5532;8559
5611;Омская область;Саргатский район;Калачевка;д;5552;7341
5612;Красноярский край;Ермаковский район;Нижний Суэтук;с;5334;9247
5613;Кемеровская область;Тисульский район;Тамбар;с;5559;8861
5614;Омская область;Горьковский район;Лежанка;с;5546;7343
5615;Кемеровская область;Ижморский район;Постниково;с;5624;8678
5616;Алтайский край;Краснощёковский;Чинета;с;5133;8305
5617;Алтайский край;Ключевский;Новополтава;с;5241;7934
5618;Томская область;Шегарский район;Трубачево;с;5667;8424
5619;Красноярский край;Большемуртинский район;Российка;с;5705;9331
5620;Алтайский край;Первомайский;Правда;п;5343;8413
5621;Красноярский край;Канский район;Большая Уря;с;5602;9548
5622;Алтайский край;Ельцовский;Последниково;с;5319;8656
5623;Кемеровская область;Топкинский район;Мокроусовский;п;5517;8556
5624;Алтайский край;Барнаул;Барнаул;г;5334;8378
5625;Новосибирская область;Татарский район;Городенка;д;5495;7581
5626;Кемеровская область;Ленинск-Кузнецкий;Родниковый;п;5440;8603
5627;Алтайский край;Чарышский;Берёзовка;с;5127;8361
5628;Томская область;Шегарский район;Маркелово;с;5670;8356
5629;Омская область;Омский район;Калиновка;д;5520;7361
5630;Иркутская область;Осинский район;Рассвет;с;5355;10343
5631;Новосибирская область;Сузунский район;Малышево;с;5374;8205
5632;Новосибирская область;Черепановский район;Карагужево;с;5415;8312
5633;Красноярский край;Канский район;Ивановка;д;5654;9538
5634;Томская область;Александровский район;Назино;с;6012;7893
5635;Новосибирская область;Убинский район;Кожурла;с;5534;7903
5636;Красноярский край;Таймырский Долгано-Ненецкий район;Новорыбная;п;7283;10579
5637;Иркутская область;Куйтунский район;Игнино;п;5408;10175
5638;Республика Алтай;Чемальский район;Усть-Сема;п;5164;8576
5639;Красноярский край;Дивногорск;Овсянка;с;5596;9255
5640;Иркутская область;Баяндаевский район;Кайзеран;д;5330;10600
5641;Красноярский край;Идринский район;Большие Кныши;с;5424;9256
5642;Омская область;Омский район;Калачево;д;5476;7332
5643;Новосибирская область;Тогучинский район;Репьево;с;5506;8345
5644;Новосибирская область;Чулымский район;Золотая Грива;с;5499;8068
5645;Алтайский край;Панкрушихинский;Романово;с;5396;8049
5646;Омская область;Москаленский район;Доброе Поле;д;5487;7182
5647;Кемеровская область;Новокузнецкий;Новокузнецк;г;5375;8713
5648;Республика Хакасия;Усть-Абаканский район;Вершино-Биджа;с;5397;9097
5649;Иркутская область;Баяндаевский район;Хогот;с;5323;10586
5650;Республика Алтай;Шебалинский район;Барагаш;с;5127;8519
5651;Томская область;Колпашевский район;Могильный Мыс;д;5812;8281
5652;Омская область;Тюкалинский район;Кабырдак;с;5611;7243
5653;Новосибирская область;Карасукский район;Морозовка;с;5391;7832
5654;Алтайский край;Бийский;Усятское;с;5256;8576
5655;Кемеровская область;Промышленновский район;Плотниково;п;5502;8594
5656;Красноярский край;Курагинский район;Детлово;п;5409;9244
5657;Красноярский край;Сухобузимский район;Павловщина;с;5674;9357
5658;Кемеровская область;Юргинский;Варюхино;с;5610;8489
5659;Республика Алтай;Кош-Агачский район;Ортолык;с;5003;8850
5660;Красноярский край;Дзержинский район;Денисово;с;5685;9509
5661;Омская область;Марьяновский район;Охровка;д;5495;7246
5662;Новосибирская область;Купинский район;Шаитик;д;5464;7758
5663;Алтайский край;Хабарский;Пионер Труда;п;5354;7908
5664;Красноярский край;Пировский район;Омский;п;5759;9189
5665;Новосибирская область;Чановский район;Приомский;п;5540;7765
5666;Красноярский край;Дзержинский район;Новый;п;5673;9478
5667;Иркутская область;Черемховский район;Елань;д;5293;10301
5668;Алтайский край;Ельцовский;Мартыново;с;5325;8591
5669;Красноярский край;Рыбинский район;Лозовая;д;5577;9491
5670;Новосибирская область;Северный район;Останинка;с;5672;7826
5671;Иркутская область;Нукутский район;Зунгар;д;5402;10287
5672;Красноярский край;Дивногорск;Слизнево;п;5595;9257
5673;Новосибирская область;Тогучинский район;Мирный;п;5472;8474
5674;Кемеровская область;Ижморский район;Воскресенка;с;5613;8695
5675;Омская область;Большереченский район;Яготово;д;5640;7439
5676;Алтайский край;Кытмановский;Новоозерное;с;5347;8561
5677;Новосибирская область;Каргатский район;Кубанский;п;5510;8043
5678;Красноярский край;Новосёловский район;Кульчек;д;5491;9141
5679;Томская область;Александровский район;Александровское;с;6042;7786
5680;Иркутская область;Боханский район;Казачье;с;5333;10344
5681;Алтайский край;Бурлинский;Петровка;с;5335;7805
5682;Томская область;Томский район;Подломск;д;5664;8582
5683;Новосибирская область;Коченёвский район;Новоотрубное;д;5512;8214
5684;Республика Тыва;Каа-Хемский кожуун;Авыйган;с;5153;9599
5685;Омская область;Таврический район;Андреевка;д;5438;7326
5686;Новосибирская область;Новосибирский район;Железнодорожный;п;5498;8328
5687;Красноярский край;Краснотуранский район;Галактионово;с;5413;9211
5688;Кемеровская область;Юргинский;Талая;д;5578;8489
5689;Омская область;Омский район;Вперед;д;5509;7376
5690;Красноярский край;Сухобузимский район;Атаманово;с;5640;9364
5691;Новосибирская область;Мошковский район;Томилово;с;5521;8384
5692;Томская область;ЗАТО город Северск;Самусь;п;5674;8470
5693;Кемеровская область;Юргинский;Филоново;д;5586;8478
5694;Иркутская область;Усольский район;Ключевая;д;5258;10357
5695;Алтайский край;Завьяловский;Завьялово;с;5283;8091
5696;Новосибирская область;Карасукский район;Луганск;с;5362;7759
5697;Красноярский край;Курагинский район;Чибижек;п;5440;9364
5698;Красноярский край;Казачинский район;Рождественское;с;5761;9314
5699;Красноярский край;Балахтинский район;Красный Ключ;д;5544;9196
5700;Омская область;Большереченский район;Курносово;с;5612;7431
5701;Республика Алтай;Турочакский район;Озеро-Куреево;с;5246;8675
5702;Новосибирская область;Тогучинский район;Низовка;п;5509;8470
5703;Новосибирская область;Куйбышевский район;Верх-Ича;с;5572;7801
5704;Красноярский край;Нижнеингашский район;Михайловка;д;5634;9663
5705;Республика Хакасия;Орджоникидзевский район;Копьево;с;5503;8984
5706;Алтайский край;Быстроистокский;Усть-Ануй;с;5238;8476
5707;Новосибирская область;Чистоозёрный район;Варваровка;с;5439;7625
5708;Новосибирская область;Чановский район;Моховое;п;5529;7681
5709;Омская область;Калачинский район;Осокино;с;5489;7461
5710;Иркутская область;Тулунский район;Сибиряк;п;5472;10051
5711;Алтайский край;Новичихинский;Павловка;с;5208;8150
5712;Новосибирская область;Каргатский район;Безлюдный;п;5522;8005
5713;Республика Тыва;Сут-Хольский кожуун;Бора-Тайга;с;5140;9114
5714;Новосибирская область;Купинский район;Михайловка;д;5445;7729
5715;Красноярский край;Казачинский район;Дудовка;с;5745;9308
5716;Новосибирская область;Купинский район;Веселый Кут;д;5417;7721
5717;Алтайский край;Романовский;Казанцево;с;5265;8143
5718;Кемеровская область;Прокопьевский;Верх-Егос;с;5392;8660
5719;Иркутская область;Нижнеудинский район;Шеберта;с;5463;9987
5720;Республика Алтай;Шебалинский район;Ильинка;с;5144;8510
5721;Красноярский край;Нижнеингашский район;Максаковка;д;5626;9651
5722;Новосибирская область;Искитимский район;Калиновка;д;5471;8345
5723;Республика Алтай;Усть-Канский район;Кайсын;с;5095;8459
5724;Омская область;Азовский немецкий национальный район;Гауф;д;5478;7339
5725;Алтайский край;Смоленский;Катунское;с;5241;8511
5726;Алтайский край;Тальменский;Сандалово;с;5374;8300
5727;Республика Хакасия;Боградский район;Сонское;с;5416;9021
5728;Красноярский край;Идринский район;Средняя Салба;д;5418;9230
5729;Алтайский край;Первомайский;Берёзовка;с;5340;8400
5730;Иркутская область;Боханский район;Тихоновка;с;5317;10422
5731;Республика Хакасия;Боградский район;Красный Камень;д;5409;9127
5732;Новосибирская область;Черепановский район;Сибиряк;п;5416;8272
5733;Новосибирская область;Ордынский район;Новопичугово;с;5460;8234
5734;Республика Тыва;Пий-Хемский кожуун;Аржаан;с;5206;9360
5735;Красноярский край;Манский район;Нарва;с;5539;9364
5736;Томская область;Зырянский район;Окунеево;с;5677;8699
5737;Иркутская область;Баяндаевский район;Люры;д;5300;10546
5738;Кемеровская область;Ижморский район;Новый Свет;п;5582;8683
5739;Иркутская область;Аларский район;Жлобино;д;5350;10309
5740;Иркутская область;Куйтунский район;Хаихта;с;5435;10175
5741;Томская область;Бакчарский район;Плотниково;п;5685;8307
5742;Кемеровская область;Кемеровский;Ягуново;с;5523;8600
5743;Томская область;Верхнекетский район;Степановка;п;5864;8675
5744;Иркутская область;Черемховский район;Молочное;п;5305;10334
5745;Алтайский край;Благовещенский;Глядень-2;с;5278;8027
5746;Кемеровская область;Чебулинский район;Усть-Серта;с;5600;8799
5747;Алтайский край;Павловский;Колыванское;с;5303;8288
5748;Республика Хакасия;Сорск;Сорск;г;5400;9025
5749;Новосибирская область;Искитимский район;Барабка;п;5465;8342
5750;Омская область;Крутинский район;Шипуново;с;5625;7153
5751;Красноярский край;Ужурский район;Приреченск;п;5521;9027
5752;Новосибирская область;Чулымский район;Кузнецкий;п;5517;8130
5753;Новосибирская область;Колыванский район;Новотроицк;с;5560;8327
5754;Кемеровская область;Крапивинский район;Перехляй;п;5487;8658
5755;Кемеровская область;Мысковский;Чувашка;п;5359;8781
5756;Иркутская область;Киренский район;Чечуйск;с;5807;10870
5757;Алтайский край;Панкрушихинский;Панкрушиха;с;5382;8034
5758;Омская область;Знаменский район;Усть-Шиш;п;5732;7337
5759;Алтайский край;Первомайский;Октябрьское;с;5357;8384
5760;Омская область;Оконешниковский район;Золотая Нива;с;5489;7490
5761;Красноярский край;Большеулуйский район;Симоново;д;5650;9046
5762;Красноярский край;Курагинский район;Гуляевка;д;5384;9376
5763;Алтайский край;Чарышский;Маяк;с;5161;8343
5764;Алтайский край;Солтонский;Излап;с;5290;8661
5765;Иркутская область;Тулунский район;Нижний Манут;д;5447;10052
5766;Иркутская область;Иркутский район;Патроны;п;5215;10447
5767;Омская область;Тарский район;Атирка;с;5725;7427
5768;Омская область;Павлоградский район;Новоуральское;с;5424;7421
5769;Томская область;Первомайский район;Апсагачево;с;5758;8578
5770;Новосибирская область;Тогучинский район;Заречное;с;5515;8462
5771;Новосибирская область;Чановский район;Красное;с;5553;7681
5772;Иркутская область;Братский район;Кобь;с;5543;10136
5773;Красноярский край;Мотыгинский район;Рыбное;с;5813;9451
5774;Красноярский край;Берёзовский район;Киндяково;д;5606;9332
5775;Красноярский край;Партизанский район;Новопокровка;д;5538;9433
5776;Томская область;Чаинский район;Чемондаевка;с;5774;8300
5777;Кемеровская область;Ленинск-Кузнецкий;Новый;п;5484;8622
5778;Омская область;Марьяновский район;Старая Шараповка;д;5496;7277
5779;Кемеровская область;Кемеровский;Благодатный;п;5540;8581
5780;Омская область;Марьяновский район;Марьяновский;п;5492;7252
5781;Новосибирская область;Чистоозёрный район;Новая Кулында;с;5491;7636
5782;Иркутская область;Чунский район;Мухино;д;5582;9950
5783;Красноярский край;Большемуртинский район;Бузуново;д;5669;9332
5784;Томская область;Кожевниковский район;Красный Яр;д;5608;8386
5785;Иркутская область;Балаганский район;Ташлыкова;д;5389;10308
5786;Омская область;Азовский немецкий национальный район;Березовка;с;5479;7307
5787;Алтайский край;Тальменский;Зайцево;с;5368;8332
5788;Красноярский край;Абанский район;Самойловка;с;5683;9589
5789;Алтайский край;Первомайский;Лесной;п;5324;8397
5790;Красноярский край;Туруханский район;Бахта;п;6246;8900
5791;Иркутская область;Иркутский район;Московщина;д;5252;10416
5792;Томская область;Кривошеинский район;Новокривошеино;с;5731;8379
5793;Новосибирская область;Сузунский район;Болтово;с;5402;8226
5794;Алтайский край;Павловский;Елунино;с;5343;8300
5795;Красноярский край;Ермаковский район;Новополтавка;с;5332;9261
5796;Республика Тыва;Тоджинский кожуун;Ырбан;с;5271;9572
5797;Красноярский край;Эвенкийский район;Стрелка-Чуня;п;6173;10280
5798;Томская область;Кривошеинский район;Малиновка;с;5736;8348
5799;Омская область;Тюкалинский район;Валуевка;с;5569;7201
5800;Кемеровская область;Топкинский район;Цыпино;д;5513;8549
5801;Красноярский край;Курагинский район;Имисское;с;5390;9316
5802;Кемеровская область;Яшкинский район;Кулаково;д;5588;8502
5803;Новосибирская область;Мошковский район;Емельяновский;п;5525;8334
5804;Новосибирская область;Кочковский район;Быструха;с;5443;8087
5805;Иркутская область;Иркутский район;Новолисиха;д;5223;10445
5806;Омская область;Тюкалинский район;Никольское;с;5561;7228
5807;Алтайский край;Солонешенский;Юртное;с;5181;8423
5808;Алтайский край;Кытмановский;Семено-Красилово;с;5356;8560
5809;Республика Тыва;Овюрский кожуун;Чаа-Суур;с;5082;9276
5810;Омская область;Саргатский район;Михайловка;д;5566;7296
5811;Республика Алтай;Турочакский район;Артыбаш;с;5179;8726
5812;Омская область;Любинский район;Астрахановка;д;5526;7259
5813;Красноярский край;Минусинск;Минусинск;г;5371;9168
5814;Омская область;Тюкалинский район;Бекишево;с;5558;7270
5815;Иркутская область;Братский район;Прибойный;п;5563;10323
5816;Красноярский край;Тасеевский район;Хандала;с;5712;9491
5817;Омская область;Азовский немецкий национальный район;Новинка;д;5476;7314
5818;Красноярский край;Богучанский район;Невонка;п;5842;9832
5819;Алтайский край;Крутихинский;Крутиха;с;5396;8120
5820;Иркутская область;Осинский район;Усть-Алтан;с;5352;10362
5821;Красноярский край;Балахтинский район;Тюльково;с;5536;9124
5822;Красноярский край;Ирбейский район;Новомариновка;д;5544;9602
5823;Республика Хакасия;Орджоникидзевский район;Приисковое;с;5465;8869
5824;Алтайский край;Кытмановский;Заречное;с;5358;8532
5825;Алтайский край;Благовещенский;Глядень-3;с;5273;8026
5826;Алтайский край;Зональный;Восход;п;5272;8495
5827;Республика Тыва;Монгун-Тайгинский кожуун;Кызыл-Хая;с;5004;8986
5828;Омская область;Нововаршавский район;Дробышево;с;5398;7467
5829;Республика Хакасия;Боградский район;Бородино;с;5409;9112
5830;Алтайский край;Шипуновский;Метели;п;5207;8248
5831;Республика Алтай;Майминский район;Карлушка;п;5198;8585
5832;Красноярский край;Балахтинский район;Огур;с;5535;9186
5833;Иркутская область;Куйтунский район;Большой Кашелак;с;5407;10155
5834;Иркутская область;Аларский район;Аларь;с;5306;10254
5835;Омская область;Черлакский район;Путь Ленина;д;5424;7480
5836;Омская область;Большереченский район;Ростовка;д;5579;7438
5837;Омская область;Омский район;Никоновка;с;5537;7355
5838;Красноярский край;Канский район;Хаерино;д;5633;9520
5839;Иркутская область;Куйтунский район;Каранцай;с;5413;10121
5840;Новосибирская область;Чулымский район;Филимоновский;п;5492;8106
5841;Омская область;Нововаршавский район;Красный Яр;д;5413;7472
5842;Красноярский край;Богучанский район;Говорково;п;5860;9872
5843;Новосибирская область;Кыштовский район;Сергеевка;с;5645;7621
5844;Кемеровская область;Новокузнецкий;Боровково;с;5379;8749
5845;Республика Алтай;Онгудайский район;Курота;с;5081;8596
5846;Республика Алтай;Усть-Коксинский район;Кучерла;п;5014;8632
5847;Кемеровская область;Ленинск-Кузнецкий;Поречье;п;5456;8615
5848;Алтайский край;Троицкий;Песьянка;с;5311;8455
5849;Красноярский край;Курагинский район;Кордово;с;5409;9327
5850;Алтайский край;Панкрушихинский;Конёво;с;5387;8056
5851;Алтайский край;Бийский;Восточный;п;5263;8535
5852;Иркутская область;Нижнеудинский район;Майский;п;5482;9901
5853;Иркутская область;Тулунский район;Ниргит;д;5483;10068
5854;Красноярский край;Каратузский район;Верхние Куряты;д;5373;9319
5855;Алтайский край;Тюменцевский;Свободный;п;5329;8161
5856;Кемеровская область;Новокузнецкий;Мир;п;5373;8700
5857;Красноярский край;Тасеевский район;Луговая;д;5737;9582
5858;Алтайский край;Крутихинский;Подборный;п;5399;8100
5859;Кемеровская область;Юргинский;Митрофаново;д;5564;8529
5860;Красноярский край;Шушенский район;Майский;п;5303;9186
5861;Иркутская область;Ольхонский район;Хурай-Нур;д;5280;10646
5862;Омская область;Любинский район;Степановка;д;5542;7283
5863;Новосибирская область;Коченёвский район;Троицк;д;5512;8224
5864;Республика Хакасия;Ширинский район;Беренжак;п;5413;8947
5865;Кемеровская область;Мысковский;Берензас;п;5372;8761
5866;Красноярский край;Ачинский район;Нагорново;д;5640;9041
5867;Омская область;Исилькульский район;Улендыкуль;д;5479;7145
5868;Новосибирская область;Краснозерский район;Майское;с;5407;7976
5869;Красноярский край;Новосёловский район;Черная Кома;д;5492;9127
5870;Омская область;Полтавский район;Святогорск;д;5438;7138
5871;Омская область;Называевский район;Жирновка;с;5538;7133
5872;Красноярский край;Каратузский район;Нижний Кужебар;с;5353;9307
5873;Алтайский край;Мамонтовский;Ермачиха;с;5303;8163
5874;Алтайский край;Ребрихинский;Георгиевка;с;5285;8204
5875;Омская область;Марьяновский район;Усовка;д;5491;7265
5876;Красноярский край;Рыбинский район;Воскресенка;д;5594;9497
5877;Красноярский край;Абанский район;Почет;п;5719;9642
5878;Кемеровская область;Гурьевский район;Гурьевск;г;5428;8594
5879;Красноярский край;Дзержинский район;Михайловка;с;5669;9513
5880;Новосибирская область;Кочковский район;Новые Решеты;п;5412;8038
5881;Алтайский край;Усть-Калманский;Новый Чарыш;п;5217;8337
5882;Иркутская область;Катангский район;Подволошино;с;5824;10842
5883;Красноярский край;Богучанский район;Пинчуга;п;5837;9694
5884;Новосибирская область;Новосибирский район;Катковский;п;5517;8277
5885;Омская область;Муромцевский район;Артын;с;5615;7475
5886;Алтайский край;Родинский;Вячеславка;п;5281;8044
5887;Красноярский край;Назаровский район;Красная Сопка;п;5570;9003
5888;Красноярский край;Минусинский район;Тигрицкое;с;5359;9241
5889;Иркутская область;Качугский район;Большой Косогол;д;5384;10615
5890;Томская область;Бакчарский район;Вавиловка;д;5705;8202
5891;Алтайский край;Целинный;Марушка;с;5287;8549
5892;Иркутская область;Усть-Кутский район;Ручей;п;5685;10505
5893;Алтайский край;Солонешенский;Искра;с;5156;8440
5894;Красноярский край;Казачинский район;Вороковка;с;5759;9285
5895;Красноярский край;Рыбинский район;Александровка;с;5599;9455
5896;Новосибирская область;Тогучинский район;Доронино;с;5498;8461
5897;Республика Тыва;Кызылский кожуун;Целинное;с;5132;9480
5898;Красноярский край;Каратузский район;Нижние Куряты;с;5377;9320
5899;Кемеровская область;Мариинский район;Первомайский;п;5617;8802
5900;Кемеровская область;Новокузнецкий;Красная Орловка;с;5358;8733
5901;Новосибирская область;Венгеровский район;Козловка;д;5560;7696
5902;Новосибирская область;Сузунский район;Шипуновский;п;5396;8259
5903;Республика Тыва;Бай-Тайгинский кожуун;Тээли;с;5101;9020
5904;Омская область;Марьяновский район;Александровка;д;5498;7289
5905;Красноярский край;Тюхтетский район;Чиндат;с;5737;8930
5906;Красноярский край;Курагинский район;Журавлево;п;5416;9325
5907;Омская область;Исилькульский район;Лесной;п;5496;7115
5908;Томская область;Томский район;Новомихайловка;д;5654;8514
5909;Республика Хакасия;Ширинский район;Сон;с;5438;9038
5910;Новосибирская область;Чановский район;Зенкино;д;5502;7712
5911;Красноярский край;Бирилюсский район;Зачулымка;с;5688;9045
5912;Новосибирская область;Усть-Таркский район;Щербаки;с;5554;7566
5913;Красноярский край;Курагинский район;Тагашет;п;5418;9260
5914;Красноярский край;Краснотуранский район;Уяр;д;5462;9135
5915;Томская область;Томский район;Зоркальцево;с;5652;8474
5916;Красноярский край;Минусинский район;Большая Ничка;с;5366;9213
5917;Алтайский край;Волчихинский;Вострово;с;5213;8063
5918;Омская область;Любинский район;Большемогильное;д;5539;7262
5919;Кемеровская область;Прокопьевский;Свободный;п;5387;8655
5920;Иркутская область;Тайшетский район;Парижская Коммуна;д;5594;9812
5921;Иркутская область;Усть-Удинский район;Юголок;с;5418;10329
5922;Иркутская область;Усть-Илимский район;Подъеланка;с;5708;10165
5923;Алтайский край;Хабарский;Хабары;с;5362;7953
5924;Омская область;Черлакский район;Ольховка;д;5388;7505
5925;Алтайский край;Суетский;им Владимира Ильича;п;5323;7971
5926;Новосибирская область;Барабинский район;Бакмасиха;д;5514;7883
5927;Иркутская область;Нижнеудинский район;Алзамай;г;5555;9866
5928;Республика Алтай;Онгудайский район;Онгудай;с;5074;8613
5929;Республика Алтай;Усть-Канский район;Яконур;с;5103;8487
5930;Республика Тыва;Дзун-Хемчикский кожуун;Теве-Хая;с;5136;9145
5931;Новосибирская область;Новосибирский район;Жеребцово;с;5511;8327
5932;Иркутская область;Слюдянский район;Слюдянка;г;5165;10371
5933;Томская область;Томский район;Воронино;д;5655;8525
5934;Республика Хакасия;Ширинский район;Фыркал;с;5463;8981
5935;Иркутская область;Качугский район;Исеть;д;5384;10598
5936;Омская область;Исилькульский район;Благовещенка;д;5488;7104
5937;Красноярский край;Ужурский район;Арабкаево;п;5508;9032
5938;Республика Хакасия;Алтайский район;Смирновка;д;5338;9137
5939;Алтайский край;Троицкий;Хайрюзовка;с;5295;8491
5940;Красноярский край;Богучанский район;Хребтовый;п;5858;9861
5941;Красноярский край;Ужурский район;Васильевка;с;5542;8991
5942;Иркутская область;Зиминский район;Самара;с;5385;10201
5943;Новосибирская область;Краснозерский район;Гербаево;с;5398;7941
5944;Красноярский край;Нижнеингашский район;Новая Пойма;д;5617;9659
5945;Алтайский край;Солтонский;Урунск;с;5288;8653
5946;Омская область;Исилькульский район;Мясники;д;5458;7141
5947;Алтайский край;Бийский;Новиково;с;5261;8595
5948;Красноярский край;Краснотуранский район;Белоярск;с;5438;9167
5949;Кемеровская область;Ленинск-Кузнецкий;Камышино;с;5461;8579
5950;Иркутская область;Куйтунский район;Кундуй;с;5434;10126
5951;Республика Тыва;Улуг-Хемский кожуун;Торгалыг;с;5133;9282
5952;Республика Алтай;Чойский район;Киска;с;5206;8649
5953;Республика Алтай;Шебалинский район;Мухор-Черга;с;5140;8534
5954;Новосибирская область;Венгеровский район;Минино;с;5617;7754
5955;Республика Хакасия;Ширинский район;Борец;с;5446;9036
5956;Новосибирская область;Болотнинский район;Турнаево;с;5577;8451
5957;Кемеровская область;Промышленновский район;Пьяново;д;5492;8528
5958;Новосибирская область;Баганский район;Тычкино;с;5410;7778
5959;Республика Хакасия;Ширинский район;Тупик;д;5438;8994
5960;Красноярский край;Емельяновский район;Устюг;с;5637;9284
5961;Кемеровская область;Тяжинский район;Старый Тяжин;с;5614;8856
5962;Новосибирская область;Карасукский район;Красносельский;п;5371;7801
5963;Красноярский край;Минусинский район;Жерлык;с;5375;9244
5964;Омская область;Москаленский район;Инсарка;д;5480;7185
5965;Красноярский край;Берёзовский район;Ермолаевский Затон;п;5614;9314
5966;Новосибирская область;Чановский район;Сергино;д;5547;7749
5967;Омская область;Исилькульский район;Кромы;с;5476;7107
5968;Красноярский край;Ужурский район;Изыкчуль;д;5544;9006
5969;Новосибирская область;Чистоозёрный район;Олтарь;д;5453;7665
5970;Алтайский край;Косихинский;Глушинка;с;5345;8449
5971;Республика Тыва;Тандинский кожуун;Дурген;с;5114;9450
5972;Омская область;Тарский район;Имшегал;с;5735;7456
5973;Красноярский край;Каратузский район;Моторское;с;5340;9293
5974;Омская область;Нововаршавский район;Заречное;с;5432;7458
5975;Иркутская область;Усольский район;Новожилкино;с;5255;10355
5976;Иркутская область;Бодайбинский район;Балахнинский;п;5801;11427
5977;Алтайский край;Тюменцевский;Сосновка;п;5325;8184
5978;Иркутская область;Киренский район;Никольск;д;5776;10819
5979;Красноярский край;Курагинский район;Алексеевка;с;5404;9222
5980;Омская область;Омский район;Андреевский;п;5509;7371
5981;Томская область;Чаинский район;Обское;с;5773;8338
5982;Республика Алтай;Усть-Канский район;Усть-Кан;с;5092;8476
5983;Алтайский край;Новичихинский;Солоновка;с;5198;8139
5984;Новосибирская область;Купинский район;Новоключи;с;5424;7800
5985;Томская область;Зырянский район;Зырянское;с;5682;8662
5986;Республика Тыва;Тере-Хольский кожуун;Кунгуртуг;с;5059;9752
5987;Омская область;Одесский район;Тишанка;д;5431;7290
5988;Омская область;Муромцевский район;Качесово;д;5604;7475
5989;Омская область;Москаленский район;Родная Долина;д;5486;7174
5990;Иркутская область;Куйтунский район;Или;с;5416;10138
5991;Алтайский край;Барнаул;Новомихайловка;п;5334;8347
5992;Алтайский край;Табунский;Забавное;с;5283;7878
5993;Красноярский край;Канский район;Верх-Амонаш;с;5590;9563
5994;Красноярский край;Ужурский район;Новоракитка;п;5558;9014
5995;Алтайский край;Советский;Талица;с;5239;8566
5996;Алтайский край;Немецкий национальный;Камыши;с;5333;7878
